timestamp,(HealthService)/Database Cache Misses/sec,(HealthService)/Database Cache % Hit,(HealthService)/Database Cache Requests/sec,(HealthService)/Database Page Faults/sec,(HealthService)/Database Page Evictions/sec,(HealthService)/Database Page Fault Stalls/sec,(HealthService)/Database Cache Size (MB),(HealthService)/Database Cache Size,(HealthService)/Database Cache Size Resident,(HealthService)/Database Cache Size Resident (MB)
08/02/2023 22:30:10.819,0.11664113989190407,97.491039426523301,4.6489825756916048,0.11664113989190407,0.049989059953673171,0.033326039969115449,0,720896,720896,0
08/02/2023 22:31:10.832,0.049988912769839841,98.924731182795696,4.648968887595105,0.049988912769839841,0.016662970923279945,0,0,720896,720896,0
08/02/2023 22:32:10.885,0.033325891777130669,99.283154121863802,4.6489619029097282,0.033325891777130669,0.033325891777130669,0,0,720896,720896,0
08/02/2023 22:33:10.975,0,100,4.6489667884000827,0,0,0,0,720896,720896,0
08/02/2023 22:34:11.066,0,100,4.6489754773484968,0,0,0,0,720896,720896,0
08/02/2023 22:35:11.156,0,100,4.6489608370842941,0,0,0,0,720896,720896,0
08/02/2023 22:36:11.246,0.04998883882919767,98.939929328621915,4.7156137962209801,0.04998883882919767,0.04998883882919767,0.016662946276399224,0,720896,720896,0
08/02/2023 22:37:11.310,0,100,4.6489846424388714,0,0,0,0,720896,720896,0
08/02/2023 22:38:11.351,0.033325960928055079,99.288256227758012,4.6822975103917388,0.033325960928055079,0.033325960928055079,0,0,720896,720896,0
08/02/2023 22:39:11.392,0,100,4.6489679624341784,0,0,0,0,720896,720896,0
08/02/2023 22:40:11.433,0,100,4.6489668154515531,0,0,0,0,720896,720896,0
08/02/2023 22:41:11.474,0.03332595631281339,99.288256227758012,4.6822968619502818,0.03332595631281339,0.03332595631281339,0,0,720896,720896,0
08/02/2023 22:42:11.505,0,100,4.6489588947945295,0,0,0,0,720896,720896,0
08/02/2023 22:43:11.529,0,100,4.6489777009887092,0,0,0,0,720896,720896,0
08/02/2023 22:44:11.552,0,100,4.6489601391582589,0,0,0,0,720896,720896,0
08/02/2023 22:45:11.575,0,100,4.648980958003273,0,0,0,0,720896,720896,0
08/02/2023 22:46:11.598,0,100,4.6822921158002035,0,0,0,0,720896,720896,0
08/02/2023 22:47:11.618,0,100,4.6489715278224644,0,0,0,0,720896,720896,0
08/02/2023 22:48:11.635,0,100,4.6822419194494787,0,0,0,0,720896,720896,0
08/02/2023 22:49:11.651,0,100,4.6490214600639481,0,0,0,0,720896,720896,0
08/02/2023 22:50:11.668,0,100,4.6489644024616501,0,0,0,0,720896,720896,0
08/02/2023 22:51:11.685,0,100,4.6489747902386913,0,0,0,0,720896,720896,0
08/02/2023 22:52:11.700,0,100,4.6489493781391706,0,0,0,0,720896,720896,0
08/02/2023 22:53:11.714,0,100,4.6482587753223958,0,0,0,0,720896,720896,0
08/02/2023 22:54:11.729,0,100,4.649680661859712,0,0,0,0,720896,720896,0
08/02/2023 22:55:11.743,0,100,4.6489710246641502,0,0,0,0,720896,720896,0
08/02/2023 22:56:11.757,0,100,4.6823025453550544,0,0,0,0,720896,720896,0
08/02/2023 22:57:11.771,0,100,4.6489718470304835,0,0,0,0,720896,720896,0
08/02/2023 22:58:11.785,0,100,4.6822941973481926,0,0,0,0,720896,720896,0
08/02/2023 22:59:11.799,0,100,4.6489585268958153,0,0,0,0,720896,720896,0
08/02/2023 23:00:11.812,0,100,4.6489843124084249,0,0,0,0,720896,720896,0
08/02/2023 23:01:11.826,0,100,4.6489663068839659,0,0,0,0,720896,720896,0
08/02/2023 23:02:11.839,0,100,4.6489704836338266,0,0,0,0,720896,720896,0
08/02/2023 23:03:11.853,0,100,4.6489658361885322,0,0,0,0,720896,720896,0
08/02/2023 23:04:11.867,0,100,4.6489699804757381,0,0,0,0,720896,720896,0
08/02/2023 23:05:11.880,0,100,4.6489674917384098,0,0,0,0,720896,720896,0
08/02/2023 23:06:11.894,0,100,4.6822971779973557,0,0,0,0,720896,720896,0
08/02/2023 23:07:11.907,0,100,4.6489631851470667,0,0,0,0,720896,720896,0
08/02/2023 23:08:11.920,0,100,4.6823047086488945,0,0,0,0,720896,720896,0
08/02/2023 23:09:11.933,0,100,4.648944968786763,0,0,0,0,720896,720896,0
08/02/2023 23:10:11.947,0,100,4.6489910050022001,0,0,0,0,720896,720896,0
08/02/2023 23:11:11.960,0,100,4.6489714520781948,0,0,0,0,720896,720896,0
08/02/2023 23:12:11.973,0,100,4.6489675242001836,0,0,0,0,720896,720896,0
08/02/2023 23:13:12.017,0,100,4.6465552868638866,0,0,0,0,720896,720896,0
08/02/2023 23:14:12.031,0,100,4.648966063420799,0,0,0,0,720896,720896,0
08/02/2023 23:15:12.044,0,100,4.6489691689306643,0,0,0,0,720896,720896,0
08/02/2023 23:16:12.057,0,100,4.6822841765098149,0,0,0,0,720896,720896,0
08/02/2023 23:17:12.070,0,100,4.6656469802558416,0,0,0,0,720896,720896,0
08/02/2023 23:18:12.083,0,100,4.6822897509023793,0,0,0,0,720896,720896,0
08/02/2023 23:19:12.097,0,100,4.6489733565062856,0,0,0,0,720896,720896,0
08/02/2023 23:20:12.110,0,100,4.6489682870520053,0,0,0,0,720896,720896,0
08/02/2023 23:21:12.123,0,100,4.6489701481950885,0,0,0,0,720896,720896,0
08/02/2023 23:22:12.136,0,100,4.6489622599884095,0,0,0,0,720896,720896,0
08/02/2023 23:23:12.181,0,100,4.6458926267690792,0,0,0,0,720896,720896,0
08/02/2023 23:24:12.194,0,100,4.6496350665801165,0,0,0,0,720896,720896,0
08/02/2023 23:25:12.207,0,100,4.6489542257313472,0,0,0,0,720896,720896,0
08/02/2023 23:26:12.220,0,100,4.682298556616991,0,0,0,0,720896,720896,0
08/02/2023 23:27:12.233,0,100,4.6489825756916048,0,0,0,0,720896,720896,0
08/02/2023 23:28:12.247,0,100,4.6822956958459265,0,0,0,0,720896,720896,0
08/02/2023 23:29:12.260,0,100,4.6489649813625862,0,0,0,0,720896,720896,0
08/02/2023 23:30:12.273,0,100,4.6489703213247537,0,0,0,0,720896,720896,0
08/02/2023 23:31:12.286,0,100,4.6489701157332783,0,0,0,0,720896,720896,0
08/02/2023 23:32:12.299,0,100,4.6489673402501364,0,0,0,0,720896,720896,0
08/02/2023 23:33:12.313,0,100,4.6489664854236379,0,0,0,0,720896,720896,0
08/02/2023 23:34:12.326,0,100,4.6489659443943712,0,0,0,0,720896,720896,0
08/02/2023 23:35:12.339,0,100,4.6489723447786684,0,0,0,0,720896,720896,0
08/02/2023 23:36:12.352,0,100,4.7156246512126092,0,0,0,0,720896,720896,0
08/02/2023 23:37:12.365,0,100,4.6489499570363657,0,0,0,0,720896,720896,0
08/02/2023 23:38:12.379,0,100,4.6823146696347413,0,0,0,0,720896,720896,0
08/02/2023 23:39:12.392,0,100,4.6489690228525813,0,0,0,0,720896,720896,0
08/02/2023 23:40:12.405,0,100,4.6489536414228256,0,0,0,0,720896,720896,0
08/02/2023 23:41:12.418,0,100,4.6823120322579959,0,0,0,0,720896,720896,0
08/02/2023 23:42:12.431,0,100,4.6489682491799229,0,0,0,0,720896,720896,0
08/02/2023 23:43:12.445,0,100,4.6489690174422824,0,0,0,0,720896,720896,0
08/02/2023 23:44:12.458,0,100,4.6489348895254956,0,0,0,0,720896,720896,0
08/02/2023 23:45:12.471,0,100,4.6489269040548438,0,0,0,0,720896,720896,0
08/02/2023 23:46:12.484,0,100,4.6823585518784183,0,0,0,0,720896,720896,0
08/02/2023 23:47:12.497,0,100,4.6489773655489302,0,0,0,0,720896,720896,0
08/02/2023 23:48:12.511,0,100,4.6822944534550102,0,0,0,0,720896,720896,0
08/02/2023 23:49:12.524,0,100,4.6489724908569601,0,0,0,0,720896,720896,0
08/02/2023 23:50:12.537,0,100,4.6489749850099535,0,0,0,0,720896,720896,0
08/02/2023 23:51:12.550,0,100,4.648958959717838,0,0,0,0,720896,720896,0
08/02/2023 23:52:12.563,0,100,4.6489771058536506,0,0,0,0,720896,720896,0
08/02/2023 23:53:12.577,0,100,4.6482278975662794,0,0,0,0,720896,720896,0
08/02/2023 23:54:12.590,0,100,4.649708620190931,0,0,0,0,720896,720896,0
08/02/2023 23:55:12.603,0,100,4.6489676161752129,0,0,0,0,720896,720896,0
08/02/2023 23:56:12.616,0,100,4.6822924427447914,0,0,0,0,720896,720896,0
08/02/2023 23:57:12.629,0,100,4.6489708948168609,0,0,0,0,720896,720896,0
08/02/2023 23:58:12.643,0,100,4.6822903339530031,0,0,0,0,720896,720896,0
08/02/2023 23:59:12.656,0,100,4.6488762921738571,0,0,0,0,720896,720896,0
08/03/2023 00:00:12.669,0,100,4.6490635427014118,0,0,0,0,720896,720896,0
08/03/2023 00:01:12.682,0,100,4.6489756883507614,0,0,0,0,720896,720896,0
08/03/2023 00:02:12.695,0,100,4.6489689795701876,0,0,0,0,720896,720896,0
08/03/2023 00:03:12.709,0,100,4.6489668695544939,0,0,0,0,720896,720896,0
08/03/2023 00:04:12.722,0,100,4.6489648677465034,0,0,0,0,720896,720896,0
08/03/2023 00:05:12.735,0,100,4.648972799244496,0,0,0,0,720896,720896,0
08/03/2023 00:06:12.748,0,100,4.6822866013417039,0,0,0,0,720896,720896,0
08/03/2023 00:07:12.761,0,100,4.6489762943060891,0,0,0,0,720896,720896,0
08/03/2023 00:08:12.775,0,100,4.6822961263236342,0,0,0,0,720896,720896,0
08/03/2023 00:09:12.788,0,100,4.6489705485574584,0,0,0,0,720896,720896,0
08/03/2023 00:10:12.801,0.31659608904740011,94.986807387862797,6.3152588288928753,0.41657380137815803,0.34992199315765271,0.049988856165378959,0,720896,720896,0
08/03/2023 00:11:12.814,0.11664093274835405,97.5,4.6656373099341621,0.11664093274835405,0,0,0,720896,720896,0
08/03/2023 00:12:12.827,0.1166244632546292,97.5,4.6649785301851683,0.1166244632546292,0.066642550431216682,0,0,729088,729088,0
08/03/2023 00:13:12.841,0.28331008688332537,95.197740112994353,5.8995159268645407,0.41663248071077263,0.28331008688332537,0.21664888996960177,0,753664,753664,0
08/03/2023 00:14:12.994,0.049863272351834846,98.924731182795696,4.6372843287206411,0.049863272351834846,0,0,0,753664,753664,0
08/03/2023 00:15:13.117,0.049907147428828263,98.928571428571431,4.6580004266906379,0.049907147428828263,0.049907147428828263,0.049907147428828263,0,753664,753664,0
08/03/2023 00:16:13.379,0.016592923917767087,99.642857142857139,4.6460186969747843,0.016592923917767087,0,0,0,753664,753664,0
08/03/2023 00:17:13.486,0,100,4.6586255737389548,0,0,0,0,753664,753664,0
08/03/2023 00:18:13.702,0.033213042993748297,99.288256227758012,4.6664325406216358,0.033213042993748297,0.033213042993748297,0,0,753664,753664,0
08/03/2023 00:19:13.715,0,100,4.6490818032754584,0,0,0,0,753664,753664,0
08/03/2023 00:20:13.729,0,100,4.6489771599568313,0,0,0,0,753664,753664,0
08/03/2023 00:21:13.742,0,100,4.6489682978726004,0,0,0,0,753664,753664,0
08/03/2023 00:22:13.755,0,100,4.6489729290918911,0,0,0,0,753664,753664,0
08/03/2023 00:23:13.768,0,100,4.6482684135499337,0,0,0,0,753664,753664,0
08/03/2023 00:24:13.781,0,100,4.649667445901474,0,0,0,0,753664,753664,0
08/03/2023 00:25:13.795,0,100,4.6489611238291593,0,0,0,0,753664,753664,0
08/03/2023 00:26:13.808,0.016662975247641831,99.644128113879006,4.6822960445873543,0.016662975247641831,0.016662975247641831,0,0,753664,753664,0
08/03/2023 00:27:13.821,0,100,4.6489723555992821,0,0,0,0,753664,753664,0
08/03/2023 00:28:13.834,0,100,4.6822951509375486,0,0,0,0,753664,753664,0
08/03/2023 00:29:13.847,0,100,4.6489723069065194,0,0,0,0,753664,753664,0
08/03/2023 00:30:13.861,0,100,4.6489463483991935,0,0,0,0,753664,753664,0
08/03/2023 00:31:13.874,0,100,4.6489924712076132,0,0,0,0,753664,753664,0
08/03/2023 00:32:13.887,0,100,4.6489685251051078,0,0,0,0,753664,753664,0
08/03/2023 00:33:13.900,0,100,4.6489640453826393,0,0,0,0,753664,753664,0
08/03/2023 00:34:13.913,0,100,4.6489750553440254,0,0,0,0,753664,753664,0
08/03/2023 00:35:13.927,0,100,4.6489691148276693,0,0,0,0,753664,753664,0
08/03/2023 00:36:13.940,0.033325925712629788,99.293286219081267,4.7156184883371148,0.033325925712629788,0.033325925712629788,0,0,753664,753664,0
08/03/2023 00:37:13.953,0,100,4.6489683519755758,0,0,0,0,753664,753664,0
08/03/2023 00:38:13.966,0,100,4.6822982460188207,0,0,0,0,753664,753664,0
08/03/2023 00:39:13.979,0,100,4.6489674809178183,0,0,0,0,753664,753664,0
08/03/2023 00:40:13.993,0,100,4.6489704836338266,0,0,0,0,753664,753664,0
08/03/2023 00:41:14.006,0.099977754682266981,97.959183673469383,4.8989099794310818,0.11664071379597814,0.099977754682266981,0.099977754682266981,0,753664,753664,0
08/03/2023 00:42:14.019,0,100,4.6489724259332732,0,0,0,0,753664,753664,0
08/03/2023 00:43:14.032,0,100,4.6489683032828983,0,0,0,0,753664,753664,0
